Name,Description,Founded,Business Model,Employees,Funding Stage,Total Raised,Tags
Bright Security,Bright Security Developer-centric Application & API Application Security Testing,2018,"B2B, B2G",51-200,A,$24.7M,", , , , , , , , , , financial-institutions, healthcare-providers"
Bright Way Vision,Bright Way Vision CMOS-based All-weather Vision System,2011,B2B,11-50,Mature,$25M,", , , , , , , , , , , , , , optronics, smart-mobility"
Brightmerge,Brightmerge SaaS Platform for Optimizing Electric Vehicle Charging Hubs,2018,"B2B, B2G",11-50,Seed,$1.03M,", , , , , , , , , , , , , , commercial-sites, fleet-management"
Brillianetor,Brillianetor Multi-robot Collaborative AI Tools,2013,B2B,1-10,Mature,Undisclosed,", , , , , , , saas, manufacturing-facilities"
Bringg,Bringg Delivery and Fulfillment Cloud Platform for Enterprises,2013,B2B,201-500,E,$184.5M,", , , , , , , , , , , artificial-intelligence, mobile-applications"
Briya,Briya Blockchain-based Data Retrieval Platform for Healthcare,2020,B2B,11-50,A,$17M,", , , , , , , , , , , , , , insurance-companies, medical-data"
Bthere2,Bthere2 Professional Networking App,2018,"B2B, B2C",1-10,Pre-Funding,Undisclosed,", , , , , , enterprise-solutions, business-intelligence"
Buywith,Buywith Social Tool for eCommerce,2017,B2B2C,11-50,Seed,$10.5M,", , , , , , , , , , , , , , artificial-intelligence, bloggers, retailers"
BuzzzTech,BuzzzTech Real-time Cleanliness Monitoring Systems,2015,"B2B, B2B2C",11-50,Seed,Undisclosed,", , iot, artificial-intelligence"
ByondPitch,ByondPitch Real-Time AI Guide for Virtual Meeting,2021,"B2B2C, B2C",1-10,Pre-Funding,Undisclosed,", , , , , , , video-platform, artificial-intelligence"
Bzigo,Bzigo Autonomous Mosquito-detection Solution,2016,B2C,11-50,A,$1M,", , , , , , , , mobile-applications, smart-home"
C-Crop,C-Crop Measurements for Crop Optimization,2021,B2C,1-10,Seed,$1M,", , , data-analytics, image-recognition, agtech"
C2A Security,C2A Security The Only Risk-Driven DevSecOps Platform for Software-Defined Products,2016,B2B,11-50,A,$18.7M,", , , , , , smart-mobility, electric-vehicles"
Cady Solutions,Cady Solutions Automatic Electrical Schematic Inspection,2020,B2B,11-50,Seed,$4M,", , , artificial-intelligence, inspection-and-testing, automation"
CallMarker,CallMarker AI-based Telemarketing System,2016,B2B,11-50,Pre-Funding,Undisclosed,", , , , , real-time, call-centers, smb"
CaloSense Health,CaloSense Health Better Bariatric Healthcare,2020,B2B2C,1-10,Pre-Seed,$2.06M,", , , , , , , , , , , , , , , , , , , treatments, artificial-intelligence"
Canditech,Canditech AI-powered Assessment Platform for Job Candidates,2019,B2B,11-50,Seed,$10M,", , , , , , , artificial-intelligence, enterprise-solutions"
CannaLife,CannaLife Crowd Platform for Insights from the Cannabis Industry,2019,B2B2C,1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , web-platform, artificial-intelligence"
Cannytix,Cannytix AI-based Cannabis Growing Platform,2019,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , , , , agriculture, cloud-based"
Canopy,Canopy Intelligent Care Platform for Oncology,2018,B2B,11-50,A,$13M,", , , , , , , , , , , , , , , , , chatbot, clinical-workflow"
Capitalise,Capitalise Text-based Trading Analysis and Automation,2014,"B2B2C, B2C",11-50,Mature,$10M,", , , , , , , , , , , natural-language-processing, private-investors"
Captain Up,Captain Up User Engagement Platform,2013,"B2B, B2G",1-10,Mature,Undisclosed,", , , , , , , , , , , , , , a/b-testing, behavior-analytics, education"
Carambola Media,Carambola Media Publisher-focused Marketing Solutions,2011,B2B,11-50,Mature,$5M,", , , , , , , , , , , , , natural-language-processing, artificial-intelligence"
CardiaCare,CardiaCare Wearable Therapy for Atrial Fibrillation,2015,"B2B, B2C",1-10,Seed,$4.33M,", , , , , , , , , , , , , , , , monitoring, digital-healthcare, cardiology"
CardiacSense,CardiacSense Medical Watch for Detecting and Monitoring Heart Arrhythmias,2009,B2B,11-50,A,$24.43M,", , , , , , , , , , , , , , , , , , , , , , , , , respiratory, chronic-patients, vital-signs"
CardinalOps,CardinalOps AI-powered Security Engineering,2020,B2B,11-50,A,$24M,", , , , , , artificial-intelligence, operations-optimization"
Cardiokol,Cardiokol Voice-based Markers for Large-scale Monitoring and Screening of Heart Rhythm Disorders,2017,B2B,11-50,Seed,$8M,", , , , , , , , , , , , , , , prevention, remote-monitoring, telehealth"
Cardionyx Heart Science,Cardionyx Heart Science Smart Autonomic Tone Control,2020,B2B,1-10,Seed,$700K,", , , , , , , , , patients, artificial-intelligence"
CargoZone Workspace,CargoZone Workspace Procurement and Shipping Solutions,2020,B2B,1-10,Pre-Seed,$350K,", , , , , , , , , , , , , , , , , , , , , , , , , , , , big-data, decision-support"
Carpe Diem Solutions,Carpe Diem Solutions Real-time IoT Computing and Connectivity,2018,"B2B, B2C",1-10,Pre-Seed,$500K,", , , , , , , , , , , , , , , , , , , , , , , , , , , , automotive, virtual-reality"
CartaSense,CartaSense Wireless Monitoring for Pharmaceutical and Agricultural Logistics,2007,B2B,11-50,Mature,Undisclosed,", , , , , , , , , , , , , , , , , , , , , , , , smart-mobility, cargo-management"
Castify,Castify Video Content Distribution Platform,2019,B2B,11-50,Pre-Funding,Undisclosed,", , , content-distribution, video-content"
Castory,Castory ACQUIRED Construction Progress Tracking & Documentation Platform,2019,B2B,1-10,Acquired,Undisclosed,", , , , , , artificial-intelligence, software-applications"
CatAI,CatAI AI-enhanced Personal Health Care Monitoring,2021,"B2B, B2B2C, B2G",1-10,Pre-Funding,Undisclosed,", , remote-monitoring, machine-learning"
Catch,Catch Personalized Retail Media Platform,2022,"B2B, B2B2C",11-50,Seed,Undisclosed,", , , artificial-intelligence, ecommerce"
cathAlert,cathAlert Real-time Alerts when Driving Catheters,2023,B2B,1-10,Pre-Funding,Undisclosed,", , decision-support, medical-image-analysis, catheters"
CathWorks,CathWorks Noninvasive FFR Measurements for Coronary Interventions,2013,B2B,51-200,D,$151.79M,", , , , , , , , , , , , , , , , , , , , , , , , , deep-neural-networks, medical-equipment"
Cato Networks,Cato Networks Cloud-based Secure Enterprise Networks,2015,B2B,500+,G,$770M,", , , , , , , , , , , , threat-intelligence, machine-learning"
CauseMatch,CauseMatch Nonprofit Fundraising Guidance,2016,"B2B, B2G",51-200,Pre-Funding,Undisclosed,", , , , , , , , , , , , , hospitals, machine-learning, nonprofit"
Cawamo,Cawamo AI-based Smart Alert Systems,2016,"B2B, B2C, B2G",1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , , , , , , alert-system, real-time, dual-use"
CB4 Analytics,CB4 Analytics ACQUIRED Predictive Sales Analytics,2007,B2B,51-200,Acquired,$22M,", , , , , , , , , , retail, natural-language-processing"
cClearly,cClearly Search Marketing Solutions,2014,B2B,1-10,Mature,$6.5M,", , , , , , , , , , , , , , , , , , , publishers, predictive-analytics"
CCUREx,CCUREx Cybersecurity for Private Individuals,2019,"B2B, B2C",11-50,Pre-Funding,Undisclosed,", , , , , data-protection, cyber-security"
Cecilia.ai,Cecilia.ai Interactive Robotic Bartender,2018,B2B,11-50,Seed,Undisclosed,", , , , , speech-recognition, robotics, foodtech"
Celebros,Celebros ACQUIRED Search Solutions for Ecommerce,2000,B2B,11-50,Acquired,Undisclosed,", , , , , , , , , , , user-experience, conversion-optimization"
Celery,Celery Automated Audit Platform,2022,B2B,1-10,Pre-Seed,Undisclosed,", , , , , future-of-work, accounting, automation"
Cellebrite,Cellebrite ACQUIRED Digital Intelligence Solutions,1999,"B2B, B2G",500+,Public,$480M,", , , , , , , , , , , , , artificial-intelligence, schools, blockchain"
Cemento.AI,Cemento.AI AI Platform for Construction Projects,2016,B2B,11-50,Pre-Seed,$120K,", , , , , , , , task-management, collaboration"
Centrefy,Centrefy Holistic Solution for Improved Medication Adherence and Treatment Outcomes,2019,"B2B, B2C",1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , , , , , , , home-care, data-science"
Ception,Ception AI-powered Safety System for Heavy Machinery,2018,B2B,11-50,Seed,$0,", , , , , , , , , mining, artificial-intelligence"
Chat Leap,Chat Leap No-code Viber Chatbot Builder,2016,B2B,1-10,Pre-Seed,Undisclosed,", , , , , , , , saas, chatbot, behavior-analytics"
CHEQ,CHEQ Cybersecurity Solutions for Go-to-market Organizations,2016,B2B,201-500,C,$171M,", , , , , , , , , , , , , , authentication, behavior-analytics"
Choco Insurance,Choco Insurance AI-based Insurance Assistant,2021,"B2B, B2C",1-10,Seed,$12.5M,", , , fintech, artificial-intelligence"
ChroniSense Medical,ChroniSense Medical Chronic Disease Management,2015,"B2B2C, B2C",11-50,Pre-Funding,Undisclosed,", , , , , , , , , , , , , , , , , , , vital-signs, personalization"
CiBeez,CiBeez Last-mile Delivery Management Platform,2016,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , , predictive-analytics, smart-mobility, last-mile"
CISOteria,CISOteria Cybersecurity Orchestration Platform,2018,B2B,11-50,Pre-Funding,Undisclosed,", , , , compliance, security-operations"
Citizen Impact,Citizen Impact AI-based Platform for Social Assistance Services,2021,"B2B, B2G",1-10,Seed,$750K,", , , , , , , , recommendations, software-applications"
City Hive,City Hive eCommerce and Data Platform for the Wine and Spirits Industry,2016,B2B,11-50,Pre-Funding,Undisclosed,", , , , , , , , , smb, foodtech, retail"
ClaimzAI,ClaimzAI Optimizing Claims Settling Using Data-Driven Legal Insights,2021,B2B,1-10,Pre-Funding,Undisclosed,", , , , , legaltech, saas, insurtech"
Clarifruit,Clarifruit AI-powered Quality Control Solution for Fresh Produce Supply Chain,2016,B2B,11-50,A,$18M,", , , , , , , , , , , , , , , , , , , , , , machine-learning, data-analytics, food-safety"
Clarity,Clarity Media AI Manipulation Detection,2022,"B2B, B2C, B2G",11-50,Seed,$16M,", , social-media, cyber-security"
CleanFlare,CleanFlare Flare Stack Monitoring and Control System,2021,"B2B, B2G",1-10,Pre-Seed,$1.5M,", , , , , , predictive-maintenance, remote-monitoring, chemicals"
Clearly,Clearly Mobility Emissions Management Platform,2021,B2B,11-50,Seed,$4.3M,", , , , , , , , , , smart-mobility, fleet-management"
ClearMash,ClearMash Customer Service Optimization Platform,2008,"B2B, B2B2C, B2G",11-50,Mature,Undisclosed,", , , , , , , , , , , , , , , , , , , , , , , , web-platform, customer-experience"
ClearML,ClearML Deep-learning Computer-vision Platform,2016,B2B,11-50,A,$11M,", , , , , , , open-source, computer-vision"
CLEW,CLEW Real-time Analytics for Patient-level Predictive Models,2014,B2B,11-50,B,$20.5M,", , , , , , , , , , , , , decision-support, remote-monitoring"
Click-Ins,Click-Ins AI-powered Vehicle Inspections,2014,B2B,11-50,B,$16.5M,", , , , , , , , , , , , , auto-insurance, fleet-management, api"
ClickFreeze,ClickFreeze Pre-emptive Analysis for Real Time Threats Detection,2020,B2B,1-10,Pre-Funding,Undisclosed,", , , , threat-detection, machine-learning, web-traffic"
ClickSpree,ClickSpree Video Analytics Solution,2014,B2B,1-10,Mature,Undisclosed,", , , , , , , , , , , , conversion-optimization, optronics, video"
Cnvrg.io,Cnvrg.io ACQUIRED Full Stack Machine Learning Operating System,2016,B2B,11-50,Acquired,$0,", , , , , , , , , , , , , , , natural-language-processing, automotive, industry-4.0"
Cobwebs Technology,Cobwebs Technology ACQUIRED Web Intelligence Solutions for Security and Defense,2015,"B2B, B2G",51-200,Acquired,$12M,", , , , , , , , , , , , , monitoring, cyber-security"
CogAid,CogAid Assistive Tools for Workers with Cognitive Disabilities,2015,B2C,1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , treatments, digital-therapeutics"
CogMe,CogMe A Holistic AI Platform for Preventing and Detecting Cognitive and Physiological Decline in Older Adults,2020,B2B,1-10,Seed,$1.4M,", , , , , , , , , digital-healthcare, machine-learning, seniors"
Cognata,Cognata Data Generation for AV and ADAS platforms,2016,"B2B, B2G",11-50,B,$23.5M,", , , , , , , , , , , , , autonomous-vehicles, smart-city, warehouse"
CogniFiber,CogniFiber Photonic Data Processing Solutions,2018,B2B,11-50,A,$13.5M,", , , , , , , , , , , , deep-neural-networks, climate-tech, industry-4.0"
CogniTeam,CogniTeam AI and Cloud-based Robot Programming and Automation System,2010,"B2B, B2G",11-50,A,$9.8M,", , , , , , , , , , , , , , , , sensors, lidar, autonomous-vehicles, industry-4.0"
Cognitive ID,Cognitive ID Continuous User Authentication,2016,"B2B, B2B2C",1-10,Pre-Funding,Undisclosed,", , , , , , , , , , behavior-analytics, deep-learning"
Cognni,Cognni Zero-effort Information Intelligence,2017,B2B,11-50,Seed,$4M,", , , , , , , , , , , risk-management, vulnerability-management"
CombinAble.AI,CombinAble.AI Tailored Antibody Optimization,2023,B2B,1-10,Seed,Undisclosed,", , , , therapeutics, pharmaceuticals, antibodies"
CommBox,CommBox Digital Customer Communications Platform,2013,"B2B, B2G",51-200,Seed,$55M,", , , , , , , customer-success, machine-learning"
CommonGround,CommonGround Meaningful Digital–Human Interaction,2020,B2C,11-50,A,$44M,", , , software-applications, artificial-intelligence, web-3.0"
COMMUNi,COMMUNi AI Workplace Community Platform,2021,B2B,1-10,Pre-Funding,Undisclosed,", , , enterprise-solutions, web-platform, enterprises"
Como,Como End-to-end Customer Engagement Tools,2006,"B2B, B2B2C",51-200,Mature,$109.8M,", , , , , , , , , , , , , , , , , , , , , , enterprise-solutions, artificial-intelligence"
Comovid,Comovid AI Video Content Platform,2017,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , smb, video-content"
Compass 33,Compass 33 Access Control via Face Recognition,2015,"B2B, B2G",1-10,Pre-Funding,Undisclosed,", , , , , artificial-intelligence, access-control"
Compete,Compete Real-time Compensation and Benefit Benchmarks,2020,B2B,11-50,A,$17.5M,", , , , , , artificial-intelligence, machine-learning"
Compit,Compit Real Estate Valuation and Analysis Platform,2014,"B2B, B2B2C",1-10,Mature,Undisclosed,", , , , , , software-applications, decision-making"
Conbo.ai,Conbo.ai Hardware-free Real-time Assets Tracking & Analysis for Logistic Facilities,2019,"B2B, B2B2C, B2G",1-10,Seed,$4.8M,", , , , , , , , , , , , , , , , , , , , digital-twin, machine-vision"
Concise Nursing,Concise Nursing AI-powered eLearning Platform for Nursing,2023,B2B,1-10,Pre-Funding,Undisclosed,"healthcare-providers, artificial-intelligence, e-learning"
Conflu3nce,Conflu3nce Personalized Solution for Detecting Cognitive Health Changes,2016,"B2B, B2B2C, B2C",1-10,Pre-Seed,$330K,", , , , , , , , , , , , , , , , , , , , , , , , digital-therapeutics, rehabilitation"
ConicIT,ConicIT AI Engine for Optimizing Mainframe Performance,2008,B2B,11-50,Mature,Undisclosed,", , , , , , enterprises, business-intelligence"
Connatix,Connatix Native Video Syndication and Monetization Platform,2014,B2B,51-200,A,$15M,", , , , , , , , , , , , artificial-intelligence, campaign-optimization"
Conntour,Conntour AI-powered engine for security camera analytics in natural language.,2024,"B2B, B2G",1-10,Pre-Seed,Undisclosed,", , , , , defense, computer-vision, security"
ConnVAS,ConnVAS AI-driven V2X Connectivity for Enhanced Driving,2020,"B2B, B2G",1-10,Pre-Funding,Undisclosed,", , , , , , , , , connected-vehicles, data-analytics"
Contilt,Contilt AI-based Writing Assistant,2019,B2B,1-10,Seed,Undisclosed,", , automation, artificial-intelligence"
Control's Force,Control's Force Securing Data and Transactions Across Disparate Systems,2007,"B2B, B2B2C, B2G",1-10,Mature,$1.2M,", , , , , , , , , , , , , , , , , , government, pharma-companies, gas-utilities"
CONTROP Precision Technologies,CONTROP Precision Technologies ACQUIRED Electro-optical Surveillance and Motion Control Systems,1988,"B2B, B2G",201-500,Acquired,Undisclosed,", , , , , , , , , , , , , , , , optronics, airports, defense"
Convizit,Convizit AI-driven Behavioral Data Capture Platform,2017,B2B,1-10,Seed,$7.59M,", , , , , , , , , , , , ecommerce, personalization"
Convrt,Convrt Stealth Mode,2023,B2B,11-50,Seed,Undisclosed,", , , , , , , , enterprise-software, data-gathering"
ConWize,ConWize Cloud-based Bidding and Estimation Platform,2019,B2B,1-10,Seed,$2.8M,", , , , , , , , , , data-analytics, business-processes"
Copyleaks,Copyleaks Plagiarism Detector Software,2011,"B2B, B2C",51-200,A,$7.1M,", , , , , , , , , , , , , , mobile-applications, artificial-intelligence"
Coral Smart Pool,Coral Smart Pool Video-based Drowning Detection System,2015,"B2B2C, B2C",11-50,Seed,$2.5M,", , , , , , , , , computer-vision, security, optronics"
CORDiguide,CORDiguide AI Technology for Navigating the Catheter in Cardiological and Cerebral Interventions,2021,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , digital-healthcare, software-applications"
Corsight,Corsight Facial Recognition Technology,2019,"B2B, B2G",51-200,Seed,$5M,", , , , , , , , , , , , , , , , , homeland-security, sdk, dual-use"
Cortica,Cortica Autonomous AI Model Developer,2007,"B2B, B2G",11-50,D,$107.9M,", , , , , , , , , , , , , , , , , automotive, natural-language-processing"
CortiSight Medical,CortiSight Medical Wireless Neural-stimulation Solution for the Blind,2024,B2B,1-10,Pre-Funding,Undisclosed,", neuroscience, artificial-intelligence"
Coverty,Coverty Tactical Covert Surveillance,2019,"B2B, B2G",1-10,Pre-Funding,Undisclosed,", , , , , , defense, government, wearable"
CRiskCo,CRiskCo Credit Risk Assessment and Application Processing for Businesses,2015,"B2B, B2G",11-50,Pre-Seed,$495K,", , , , , , , , , , , lending-and-financing, big-data-analytics"
Crispify,Crispify Automotive In-cabin Air Quality and User Experience Management System,2018,"B2B, B2B2C",1-10,Pre-Seed,$700K,", , , , , , user-experience, artificial-intelligence"
CRITIFENCE Technologies,"CRITIFENCE Technologies Cybersecurity Solutions for Critical Infrastructure, SCADA, and Industrial Control Systems",2009,"B2B, B2G",1-10,A,Undisclosed,", , , , , , , , , , , , industry-4.0, smart-mobility"
Crowdsense,Crowdsense Social Media Intelligence for Cryptocurrencies,2019,"B2B, B2B2C, B2C",1-10,Seed,$1.48M,", , , , , , financial-institutions, web-platform"
Crumbiz,Crumbiz Professional Networking Platform,2018,B2B,1-10,Pre-Funding,Undisclosed,", saas, artificial-intelligence, big-data"
CrunchMind,CrunchMind Data-driven Publishing Platform,2014,"B2B, B2C",1-10,Mature,Undisclosed,", , , , , , , , , , , , advertising, content-distribution, traveltech"
CRUX Knowledge,CRUX Knowledge Gamification Platform for Content Consumption,2018,B2B,1-10,Seed,$1.3M,", , , , , , , natural-language-processing, software-applications"
CuratioDL,CuratioDL Deep-learning-based Cancer Management Solutions,2021,"B2B, B2B2C",1-10,Seed,$317K,", , , , , , , , , , , , , , , , diagnostics, healthcare-providers"
Curiosity Robotics,Curiosity Robotics AI-driven Robots for Early Learning,2017,"B2B, B2B2C, B2C",11-50,Pre-Seed,$2.96M,", , , , , , , , , , toys, robotics, child-development"
Curve Tech,Curve Tech Reduce Employee Attrition,2011,"B2B, B2B2C",11-50,Mature,Undisclosed,", , , , , , , enterprise-solutions, employee-engagement"
Cust2Mate,Cust2Mate ACQUIRED Smart Shopping Carts,2013,B2B,11-50,Acquired,Undisclosed,", , , , , , , , , machine-learning, machine-vision"
Custodia,Custodia AI-based Expense Management Platform for Enterprises,2018,B2B,11-50,Pre-Funding,Undisclosed,", , , , , enterprises, mobile-applications"
CVAid Medical,CVAid Medical AI-based Stroke Disease Management Platform,2018,B2C,1-10,A,$4M,", , , , , , , , , , , , , , , , , , patients, remote-monitoring"
Cyabra,"Cyabra Uncover the Good, Bad, and Fake Online",2018,"B2B, B2G",51-200,A,$16M,", , , , , , , , , , , , , , , natural-language-processing, social-marketing"
Cybellum,Cybellum ACQUIRED Cyber Security for Automotive Component Manufacturers and OEMs,2016,B2B,51-200,Acquired,$14.5M,", , , , , , , , , , , , healthcare-providers, risk-assesments"
CybeReady,CybeReady Security Training Platform,2014,B2B,11-50,A,$5M,", , , , , , training, machine-learning"
Cybereason,Cybereason Unified Cyberattack Protection,2012,B2B,500+,G,$813.6M,", , , , , , , , , , , , , , , threat-detection, mobile-security"
CyberTraits,CyberTraits Remote Psychological Personality Profiling Platform,2014,"B2B, B2B2C, B2G",1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , healthcare-providers, enterprise-solutions, hr-tech"
Cyberwrite,Cyberwrite Cyber Insurance Technologies,2017,B2B,11-50,B,$9.45M,", , , , , , , , , , , , , , software-applications, big-data, cloud"
Cybord,Cybord AI-based Visual Inspection for Electronic Component Analytics and Traceability,2018,"B2B, B2G",11-50,A,$12.95M,", , , , , , , , , , , , industry-4.0, supply-chain"
Cybring Labs,Cybring Labs All-in-one Cyber Training Platform,2017,"B2B, B2B2C, B2C, B2G",1-10,Seed,Undisclosed,", , , , , , , , , , , , , , cyber-security, risk-management"
Cydersoft,Cydersoft Mobile Advertising Solutions,2014,B2B,1-10,Mature,$2.3M,", , , , , , , , , , , , , , user-experience, advertisers, marketing"
CYE,CYE Cyber-security Optimization Solutions,2012,B2B,51-200,A,$120M,", , , , , , , , , , , , , , , , , enterprise-solutions, insurance-companies, enterprises"
Cygo,Cygo Commodity Performance Algorithm,2019,B2B,1-10,Pre-Funding,Undisclosed,", , , , , online-shopping, ecommerce"
Cymbio,Cymbio Brand-to-Retail Connectivity,2014,"B2B, B2B2C",51-200,B,$27M,", , , , , , , , , , , , , artificial-intelligence, retailers, retail"
Cynerio,Cynerio Cybersecurity for Healthcare Providers,2017,"B2B, B2G",51-200,B,$37M,", , , , , , , , , , , anomaly-detection, clinical-workflow"
Cynomi,Cynomi Automated Virtual CISO Platform,2020,B2B,51-200,A,$23.5M,", , , risk-assesments, cyber-security"
CytoReason,CytoReason Machine Learning for Data-driven Target Discovery and Drug Development,2016,B2B,51-200,C,$132M,", , , , , , , , , , , , , , , , , , , , , , decision-support, natural-language-processing, cells"
CyTwist,CyTwist Attacker Behavior Analytics,2014,B2B,11-50,Pre-Funding,Undisclosed,", artificial-intelligence, enterprise-solutions"
D-ID,D-ID Creative AI Solution,2017,"B2B, B2B2C, B2G",51-200,B,$48.65M,", , , , , , , , , , , , , consumers, marketing, media"
DAGsHub,DAGsHub Data Version Control and Collaboration Platform,2019,"B2B, B2C",11-50,Seed,$3M,", , , , , , , , , , , , , web-platform, ai-process-optimization"
DailyRobotics,DailyRobotics Advanced Robotics for Agriculture,2022,B2B,1-10,Pre-Funding,Undisclosed,", , robotics, smart-farming"
Dairycs,Dairycs Management Solution for Dairy Farms,2018,B2B,11-50,Seed,$14M,", , , , , , , , , sensors, smart-farming"
DarioHealth,DarioHealth PUBLIC Digital Therapeutics for Treating Chronic Conditions,2011,"B2B, B2B2C, B2C",201-500,Public,$201.51M,", , , , , , , , , , , , , , , , , , , , , , , digital-therapeutics, cloud-based"
Daru Health,Daru Health Automated Mobile Microscopy Unit,2020,B2B2C,1-10,Pre-Seed,Undisclosed,", , , , , mobile-applications, computer-vision"
DATA Detection Technologies,"DATA Detection Technologies Bulk Counting, Packaging, and Inventory Control Solutions",2002,"B2B, B2G",11-50,Mature,Undisclosed,", , , , , , , , , , , , , , agtech, manufacturing-facilities, military"
Datacrushers,Datacrushers Revenue Discovery Platform for eCommerce,2012,B2B,1-10,Mature,Undisclosed,", , , , , , , marketing, artificial-intelligence"
Datalead AI,Datalead AI Data Analysis Engine for Lead Generation,2021,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , , , , , , , , , recruitment, open-source-intelligence"
Dataloop AI,Dataloop AI AI-assisted Data Management and Annotation Tools,2017,B2B,51-200,B,$49M,", , , , , , , , , , , , , , smart-mobility, enterprise-solutions, drones"
DataPond,DataPond AI Technology for Real-time Water Contamination Detection,2022,"B2B, B2G",1-10,Pre-Seed,$1.3M,", , , , , , , , , artificial-intelligence, drinking-water"
Datasya,"Datasya Healthcare knowledge sharing, easy and safe!",2021,B2C,1-10,Seed,Undisclosed,", , , digital-healthcare, healthcare-providers"
DataValley,DataValley Optimizing Oxygen Levels for Inland Aquaculture,2019,"B2B, B2C",1-10,Pre-Funding,Undisclosed,", , artificial-intelligence, climate-tech, fish-farms"
Datomize,Datomize Synthetic Tabular Data Generation,2019,B2B,1-10,Seed,$8.4M,", , , , , , enterprises, artificial-intelligence"
Datos Health,Datos Health Remote Care Platform,2015,"B2B, B2B2C",11-50,B,$18.3M,", , , , , , , , , , , , , , , , , , , automation, digital-healthcare, patients"
Datricks,Datricks The Financial Integrity Platform,2019,B2B,11-50,A,$21.5M,", , , , big-data-analytics, data-science"
Datumate,Datumate Construction Data Analytics Platform,2012,B2B,11-50,C,$9M,", , , , , , , , , , , , , , , , , , big-data-analytics, artificial-intelligence, industry-4.0"
DealSumm,DealSumm AI-based Contract Management Solutions,2014,"B2B, B2C",11-50,Mature,Undisclosed,", , , , artificial-intelligence, machine-learning"
Deci AI,Deci AI ACQUIRED Deep-learning Acceleration Platform,2019,B2B,11-50,Acquired,$55.1M,", , , machine-vision, computer-vision"
Decodea,Decodea Chess Analysis Tool,2015,"B2B2C, B2C",1-10,Pre-Funding,Undisclosed,", , , , , , personalization, web-platform"
Deep Innovations,Deep Innovations Production Grade Computer Vision Platform for Cloud-AI,2017,"B2B, B2B2C",1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , construction, cloud-infrastructure"
Deep Instinct,Deep Instinct Cybersecurity Platform Powered by Deep Learning,2015,"B2B, B2G",201-500,E,$338.2M,", , , , , , , , , , , , endpoint-security, data-protection"
Deep Learning Robotics,Deep Learning Robotics Self-learning Robotic Controller,2015,B2B,1-10,Pre-Funding,$0,", , , , , , , , , , manufacturing-facilities, packaging-and-containers"
Deep Trading,Deep Trading Deep-learning Algorithms for Trading Systems,2015,"B2B, B2C",11-50,Pre-Funding,Undisclosed,", , , , , , , , , , , , , trading-and-investing, financial-institutions"
DeePathology.ai,DeePathology.ai AI-based Pathology Decision-support Platform,2018,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , digital-healthcare, decision-support"
Deepchecks,Deepchecks Evaluation for LLM-Based Apps,2019,B2B,11-50,Seed,$14M,", , , alert-system, deep-learning"
DeepCure,DeepCure AI-driven Drug Discovery,2018,B2B,11-50,A,$46M,", , , , artificial-intelligence, deep-learning"
deepdub,deepdub AI Platform for Global Entertainment Experiences,2019,"B2B, B2C",51-200,A,$26M,", , , entertainment, web-platform, advertising"
DeepKeep,DeepKeep AI-Native Security for AI Applications,2021,B2B,11-50,Seed,$10M,", , , machine-learning, artificial-intelligence, security"
Deltika,Deltika Short-term Rental Arbitrage,2018,B2B,1-10,Pre-Seed,$20K,", , , , , , financial-institutions, banks, smb"
Demandoo Insurance,Demandoo Insurance Global On-demand Insurance Solutions,2019,"B2B, B2B2C, B2C",1-10,Seed,Undisclosed,", , , , , , insurtech, sharing-economy, api"
DentlyTec,DentlyTec Dental 3D Scanners with subgingival capabilities,2013,B2B,11-50,A,$19M,", , , , , , , , , artificial-intelligence, medical-devices"
DermaDetect,DermaDetect AI-driven Digital Diagnostics for Skin Disorders,2016,"B2B, B2C",1-10,Seed,$4.35M,", , , , , , , , , , , , , , , , , , , , home-care, doctors, optronics"
Detelix Software Technologies,Detelix Software Technologies Detecting and Preventing Financial Leaks,2015,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , payments, online-retailers"
DeviceTotal,DeviceTotal Enterprise Device Security SaaS Solution,2018,B2B,11-50,Seed,$4.82M,", , , , , , , , , , threat-detection, smart-mobility"
Diagnostic Robotics,Diagnostic Robotics Predictive Healthcare Analytics,2017,"B2B, B2B2C, B2G",51-200,B,$79M,", , , , , , , , , , , , , , , , , , , healthcare, prevention, emr"
diagnostics.ai,diagnostics.ai Automated DNA Analysis Technology,2009,B2B,1-10,Mature,Undisclosed,", , , , , , , , , , artificial-intelligence, digital-healthcare, real-time"
Dialogue,Dialogue AI-powered E-commerce Personalization Platform,2016,B2B2C,11-50,Seed,$1.1M,", , , , , , , , , online-shopping, big-data, enterprises"
